"Step","cos thresh 0.6 - test/test_accuracy","cos thresh 0.6 - test/test_accuracy__MIN","cos thresh 0.6 - test/test_accuracy__MAX","cos thresh 0.6 - test/test_adj_density","cos thresh 0.6 - test/test_adj_density__MIN","cos thresh 0.6 - test/test_adj_density__MAX","cos thresh 0.6 - test/test_loss","cos thresh 0.6 - test/test_loss__MIN","cos thresh 0.6 - test/test_loss__MAX","cos thresh 0.6 - train/train_accuracy","cos thresh 0.6 - train/train_accuracy__MIN","cos thresh 0.6 - train/train_accuracy__MAX","cos thresh 0.6 - train/train_loss","cos thresh 0.6 - train/train_loss__MIN","cos thresh 0.6 - train/train_loss__MAX","cos thresh 0.6 - train/train_adj_density","cos thresh 0.6 - train/train_adj_density__MIN","cos thresh 0.6 - train/train_adj_density__MAX"
"0","0.15833333333333333","0.15833333333333333","0.15833333333333333","0.6606833333333335","0.6606833333333335","0.6606833333333335","18.195397754245334","18.195397754245334","18.195397754245334","0.6882","0.6882","0.6882","0.9556459053754807","0.9556459053754807","0.9556459053754807","0.9211049999999993","0.9211049999999993","0.9211049999999993"
"3","0.23444444444444446","0.23444444444444446","0.23444444444444446","0.6108111111111113","0.6108111111111113","0.6108111111111113","10.559972604115805","10.559972604115805","10.559972604115805","0.8227","0.8227","0.8227","0.5322350793480873","0.5322350793480873","0.5322350793480873","0.8530099999999998","0.8530099999999998","0.8530099999999998"
"6","0.29133333333333333","0.29133333333333333","0.29133333333333333","0.5672444444444447","0.5672444444444447","0.5672444444444447","7.888629927105374","7.888629927105374","7.888629927105374","0.846","0.846","0.846","0.4414429468512535","0.4414429468512535","0.4414429468512535","0.8122999999999997","0.8122999999999997","0.8122999999999997"
"9","0.306","0.306","0.306","0.5635944444444446","0.5635944444444446","0.5635944444444446","6.296002839406332","6.296002839406332","6.296002839406332","0.8526","0.8526","0.8526","0.40515877002477646","0.40515877002477646","0.40515877002477646","0.7672749999999995","0.7672749999999995","0.7672749999999995"
"12","0.3595555555555556","0.3595555555555556","0.3595555555555556","0.5544777777777776","0.5544777777777776","0.5544777777777776","5.710428580178155","5.710428580178155","5.710428580178155","0.8644","0.8644","0.8644","0.3773225573897362","0.3773225573897362","0.3773225573897362","0.75306","0.75306","0.75306"
"15","0.40044444444444444","0.40044444444444444","0.40044444444444444","0.5408555555555553","0.5408555555555553","0.5408555555555553","3.9268775606155395","3.9268775606155395","3.9268775606155395","0.8676","0.8676","0.8676","0.3607158010005951","0.3607158010005951","0.3607158010005951","0.7297399999999997","0.7297399999999997","0.7297399999999997"
"18","0.45266666666666666","0.45266666666666666","0.45266666666666666","0.5213888888888889","0.5213888888888889","0.5213888888888889","3.228645315700107","3.228645315700107","3.228645315700107","0.8702","0.8702","0.8702","0.3450451374053955","0.3450451374053955","0.3450451374053955","0.7257000000000007","0.7257000000000007","0.7257000000000007"
"21","0.48433333333333334","0.48433333333333334","0.48433333333333334","0.5255055555555558","0.5255055555555558","0.5255055555555558","3.2578335846794975","3.2578335846794975","3.2578335846794975","0.8735","0.8735","0.8735","0.3356248895227909","0.3356248895227909","0.3356248895227909","0.7071250000000002","0.7071250000000002","0.7071250000000002"
"24","0.5247777777777778","0.5247777777777778","0.5247777777777778","0.5120777777777775","0.5120777777777775","0.5120777777777775","2.4460160880618624","2.4460160880618624","2.4460160880618624","0.8808","0.8808","0.8808","0.3186400395333767","0.3186400395333767","0.3186400395333767","0.6913649999999997","0.6913649999999997","0.6913649999999997"
"27","0.5018888888888889","0.5018888888888889","0.5018888888888889","0.5399944444444447","0.5399944444444447","0.5399944444444447","2.558183342880673","2.558183342880673","2.558183342880673","0.8799","0.8799","0.8799","0.31428731563687323","0.31428731563687323","0.31428731563687323","0.6889499999999997","0.6889499999999997","0.6889499999999997"
