"Step","cloudnet - test/test_accuracy","cloudnet - test/test_accuracy__MIN","cloudnet - test/test_accuracy__MAX","cloudnet - test/test_loss","cloudnet - test/test_loss__MIN","cloudnet - test/test_loss__MAX"
"111","0.6968888888888889","0.6968888888888889","0.6968888888888889","1.1381074380874634","1.1381074380874634","1.1381074380874634"
"114","0.6966666666666667","0.6966666666666667","0.6966666666666667","1.1424502936999004","1.1424502936999004","1.1424502936999004"
"117","0.7","0.7","0.7","1.1162298327022129","1.1162298327022129","1.1162298327022129"
"120","0.6994444444444444","0.6994444444444444","0.6994444444444444","1.1361819775899251","1.1361819775899251","1.1361819775899251"
"123","0.706","0.706","0.706","1.1204608776834275","1.1204608776834275","1.1204608776834275"
"126","0.6997777777777778","0.6997777777777778","0.6997777777777778","1.1462217791875204","1.1462217791875204","1.1462217791875204"
"129","0.7011111111111111","0.7011111111111111","0.7011111111111111","1.1494153899616666","1.1494153899616666","1.1494153899616666"
"132","0.705","0.705","0.705","1.1295720060666403","1.1295720060666403","1.1295720060666403"
"135","0.6984444444444444","0.6984444444444444","0.6984444444444444","1.1322785682148404","1.1322785682148404","1.1322785682148404"
"138","0.7017777777777777","0.7017777777777777","0.7017777777777777","1.1365643241670396","1.1365643241670396","1.1365643241670396"
"141","0.6963333333333334","0.6963333333333334","0.6963333333333334","1.155888339943356","1.155888339943356","1.155888339943356"
"144","0.7048888888888889","0.7048888888888889","0.7048888888888889","1.1204475410779318","1.1204475410779318","1.1204475410779318"
"147","0.7027777777777777","0.7027777777777777","0.7027777777777777","1.129263863298628","1.129263863298628","1.129263863298628"
"150","0.701","0.701","0.701","1.1355919671058654","1.1355919671058654","1.1355919671058654"
"153","0.7032222222222222","0.7032222222222222","0.7032222222222222","1.1370761773321363","1.1370761773321363","1.1370761773321363"
"156","0.7031111111111111","0.7031111111111111","0.7031111111111111","1.139682887395223","1.139682887395223","1.139682887395223"
"159","0.6995555555555556","0.6995555555555556","0.6995555555555556","1.1449156133333842","1.1449156133333842","1.1449156133333842"
"162","0.7006666666666667","0.7006666666666667","0.7006666666666667","1.1467310860421922","1.1467310860421922","1.1467310860421922"
